id,term,group,definition,variants
dharma,dharma,Concetti,"Ordine, dovere, legge o retta condotta; il senso preciso dipende dal contesto.",dharma|dharma-field
karma,karma,Concetti,"Azione, atto, o le conseguenze legate all'azione.",karma|karma-yoga
yoga,yoga,Concetti,"Disciplina o pratica spirituale, cammino verso la stabilità e la liberazione. Il significato letterale è «aggiogare», «unire» (dalla radice yuj).",yoga|karma-yoga|buddhi-yoga|Sāṅkhya-yoga|bhakti-yoga|yoga-maya
yogin,yogin,Concetti,Praticante dello yoga,yogīn|yogin|yogi|yogini
atman,Atman,Concetti,"Vero Sé, anima o principio interiore; tenuto distinto dall'ego ordinario e dalla personalità individuale.",Atman|Ātman
brahman,Brahman,Concetti,La realtà ultima o principio assoluto.,Brahman|Brahma-nirvana|Brahman-nirvana|Brahma-yoga|Brahma-sūtra
brahmin,Brahmin,Termini sociali e rituali,Membro della classe sacerdotale o dotta; in sanscrito brāhmaṇa.,brahmin|brahmino|brahmini|brāhmaṇa
guna,guna,Concetti,"Qualità o tendenza costitutiva di prakriti: sattva, rajas e tamas.",guna|gunas|guṇa|guṇas
sattva,sattva,Concetti,"Il guna associato a chiarezza, equilibrio e illuminazione.",sattva|sāttvika|Sattva|sattvico|sattvica|sattvici|sattviche
rajas,rajas,Concetti,"Il guna associato ad attività, passione, impulso e irrequietezza.",rajas|rājasika|Rajas|rajasico|rajasica|rajasici|rajasiche
tamas,tamas,Concetti,"Il guna associato a inerzia, ottusità, confusione e ostruzione.",tamas|tāmasika|Tamas|tamasico|tamasica|tamasici|tamasiche
prakriti,prakriti,Concetti,"Natura, processo materiale, o il campo del mutamento e della manifestazione.",prakriti|Prakriti|prakṛti|Prakṛti
purusha,purusha,Concetti,"Persona, spirito o principio cosciente; il significato varia a seconda del passo.",purusha|Purusha|puruṣa|Puruṣa
purushottama,Purushottama,Nomi ed epiteti,La Persona Suprema: epiteto di Krishna che indica la realtà suprema che trascende sia il perituro sia l'imperituro,Purushottama
kshetra,kshetra,Concetti,"Campo, in particolare il corpo o campo dell'esperienza nel capitolo 13.",kshetra|kṣetra
kshetrajna,kshetrajna,Concetti,Conoscitore del campo; il principio cosciente correlato a kshetra.,kshetrajna|kṣetrajña
maya,maya,Concetti,"Potere di apparenza, occultamento o manifestazione; dipende dal contesto.",maya|Maya|māyā|Māyā|yoga-maya
yajna,yajna,Termini sociali e rituali,"Sacrificio, offerta rituale o azione consacrata.",yajna|yajña
nirvana,nirvana,Concetti,"Estinzione, pace o liberazione; qui spesso collegato a Brahman.",nirvana|nirvāṇa|Brahma-nirvana|Brahman-nirvana
samsara,samsara,Concetti,"Il ciclo continuo del divenire mondano, della nascita, della morte e dell'attaccamento.",saṃsāra|samsara
sankhya,Sankhya,Concetti,Un cammino o quadro di conoscenza discriminativa; qui non sempre indica una scuola formale.,Sankhya|Sāṅkhya|Sāṅkhyas|Sāṅkhya-yoga
veda,Veda,Termini sociali e rituali,Antichi testi sacri della tradizione vedica.,Veda|Ṛg|Sāma|Bṛhat-sāma|Gāyatrī|Rig|Yajur|Sama|Gayatri|Brihat-sama
om,Om,Termini sociali e rituali,Sillaba sacra usata come segno conciso dell'assoluto o del divino.,Om|AUM
kshatriya,kshatriya,Termini sociali e rituali,Membro della classe guerriera o dominante.,kshatriya|kṣatriya
vaishya,vaishya,Termini sociali e rituali,"Membro della classe associata al commercio, all'agricoltura e all'allevamento.",vaiśya|vaiśyas|vaishya|vaishyas
shudra,shudra,Termini sociali e rituali,Membro della classe servile nello schema tradizionale dei varna.,śūdra|śūdras|shudra|shudras
krishna,Krishna,Nomi ed epiteti,"Krishna, che espone l'insegnamento ad Arjuna.",Krishna|Kṛṣṇa
arjuna,Arjuna,Nomi ed epiteti,"Arjuna, il guerriero a cui Krishna si rivolge.",Arjuna
partha,Partha,Nomi ed epiteti,Epiteto di Arjuna: figlio di Pritha/Kunti.,Partha|Pārtha
kaunteya,Kaunteya,Nomi ed epiteti,Epiteto di Arjuna: figlio di Kunti.,Kaunteya
dhananjaya,Dhananjaya,Nomi ed epiteti,"Epiteto di Arjuna, spesso inteso come conquistatore di ricchezze.",Dhananjaya|Dhanañjaya
gudakesha,Gudakesha,Nomi ed epiteti,"Epiteto di Arjuna, comunemente collegato al dominio sul sonno.",Guḍākeśa|Gudakesha
bharata,Bharata,Nomi ed epiteti,"Nome dinastico o ancestrale, spesso usato come appellativo.",Bharata|Bhārata|Bharatas|Bhāratas
pandava,Pandava,Nomi ed epiteti,Uno dei figli o discendenti di Pandu; spesso si riferisce ad Arjuna e ai suoi fratelli.,Pāṇḍava|Pāṇḍavas|Pandava|Pandavas
janardana,Janardana,Nomi ed epiteti,Epiteto di Krishna.,Janardana|Janārdana
keshava,Keshava,Nomi ed epiteti,Epiteto di Krishna.,Keshava|Keśava
madhusudana,Madhusudana,Nomi ed epiteti,Epiteto di Krishna: uccisore di Madhu.,Madhusudana|Madhusūdana
madhava,Madhava,Nomi ed epiteti,Epiteto di Krishna.,Madhava|Mādhava
hrishikesha,Hrishikesha,Nomi ed epiteti,"Epiteto di Krishna, spesso inteso come signore dei sensi.",Hṛṣīkeśa|Hrishikesha
vasudeva,Vasudeva,Nomi ed epiteti,"Nome o epiteto di Krishna, figlio di Vasudeva.",Vāsudeva|Vasudeva
govinda,Govinda,Nomi ed epiteti,Epiteto di Krishna.,Govinda
acyuta,Acyuta,Nomi ed epiteti,"Epiteto di Krishna, spesso glossato come colui che non vien meno.",Acyuta
