id,term,group,definition,variants
dharma,dharma,Concepts,"Order, duty, law, or right conduct; the exact sense depends on context.",dharma|dharma-field
karma,karma,Concepts,"Action, deed, or the consequences bound to action.",karma|karma-yoga
yoga,yoga,Concepts,"Discipline, practice, integration, or path toward steadiness and liberation. Literal meaning is ""yoking"", ""uniting"", ""joining"" (from the root yuj: ""to yoke"", ""to unite"").",yoga|yogī|yogi|karma-yoga|buddhi-yoga|Sāṅkhya-yoga|bhakti-yoga|practice-yoga|yoga-maya
atman,Atman,Concepts,"True Self, Soul, or inner principle; kept distinct from ordinary ego or individual personality.",Atman|Ātman
brahman,Brahman,Concepts,The ultimate reality or absolute principle.,Brahman|Brahma-nirvana|Brahman-nirvana|Brahma-yoga|Brahma-sūtra|Brahman-realization
brahmin,Brahmin,Social and ritual terms,A member of the priestly or learned class; Sanskrit brāhmaṇa.,Brahmin|brahmin|brāhmaṇa|brāhmaṇas
guna,guna,Concepts,"A quality or constituent tendency of prakriti: sattva, rajas, and tamas.",guna|gunas|guṇa|guṇas
sattva,sattva,Concepts,"The guna associated with clarity, balance, and illumination.",sattva|sāttvika|Sattva|sattvic
rajas,rajas,Concepts,"The guna associated with activity, passion, impulse, and restlessness.",rajas|rājasika|Rajas|rajasic
tamas,tamas,Concepts,"The guna associated with inertia, dullness, confusion, and obstruction.",tamas|tāmasika|Tamas|tamasic
prakriti,prakriti,Concepts,"Nature, material process, or the field of change and manifestation.",prakriti|Prakriti|prakṛti|Prakṛti
purusha,purusha,Concepts,"Person, spirit, or conscious principle; meaning varies by passage.",purusha|Purusha|puruṣa|Puruṣa
purushottama,Purushottama,Names and epithets,The Supreme Person: epithet of Krishna indicating the supreme reality that transcends both the perishable and the imperishable,Purushottama
kshetra,kshetra,Concepts,"Field, especially the body or field of experience in Chapter 13.",kshetra|kṣetra
kshetrajna,kshetrajna,Concepts,Knower of the field; the conscious principle related to kshetra.,kshetrajna|kṣetrajña
maya,maya,Concepts,"Power of appearance, concealment, or manifestation; context-dependent.",maya|Maya|māyā|Māyā|yoga-maya
yajna,yajna,Social and ritual terms,"Sacrifice, ritual offering, or consecrated action.",yajna|yajña
nirvana,nirvana,Concepts,"Extinction, peace, or release; here often linked with Brahman.",nirvana|nirvāṇa|Brahma-nirvana|Brahman-nirvana
samsara,samsara,Concepts,"The ongoing cycle of worldly becoming, birth, death, and attachment.",saṃsāra|samsara
sankhya,Sankhya,Concepts,A path or framework of discriminative knowledge; here not always a formal school label.,Sankhya|Sāṅkhya|Sāṅkhyas|Sāṅkhya-yoga
veda,Vedas,Social and ritual terms,Ancient sacred texts of the Vedic tradition.,Veda|Vedas|Ṛg|Sāma|Bṛhat-sāma|Gāyatrī|Rig|Yajur|Sama|Gayatri|Brihat-sama
om,Om,Social and ritual terms,Sacred syllable used as a concise sign of the absolute or divine.,Om|AUM
kshatriya,kshatriya,Social and ritual terms,Member of the warrior or ruling class.,kshatriya|kṣatriya
vaishya,vaishya,Social and ritual terms,"Member of the class associated with trade, agriculture, and herding.",vaiśya|vaiśyas|vaishya|vaishyas
shudra,shudra,Social and ritual terms,Member of the service class in the traditional varna scheme.,śūdra|śūdras|shudra|shudras
krishna,Krishna,Names and epithets,"Krishna, speaker of the teaching to Arjuna.",Krishna|Kṛṣṇa
arjuna,Arjuna,Names and epithets,"Arjuna, the warrior addressed by Krishna.",Arjuna
partha,Partha,Names and epithets,Epithet of Arjuna: son of Pritha/Kunti.,Partha|Pārtha
kaunteya,Kaunteya,Names and epithets,Epithet of Arjuna: son of Kunti.,Kaunteya
dhananjaya,Dhananjaya,Names and epithets,"Epithet of Arjuna, often understood as winner of wealth.",Dhananjaya|Dhanañjaya
gudakesha,Gudakesha,Names and epithets,"Epithet of Arjuna, commonly linked with mastery over sleep.",Guḍākeśa|Gudakesha
bharata,Bharata,Names and epithets,"A dynastic or ancestral name, often used as an address.",Bharata|Bhārata|Bharatas|Bhāratas
pandava,Pandava,Names and epithets,One of the sons or descendants of Pandu; often refers to Arjuna and his brothers.,Pāṇḍava|Pāṇḍavas|Pandava|Pandavas
janardana,Janardana,Names and epithets,Epithet of Krishna.,Janardana|Janārdana
keshava,Keshava,Names and epithets,Epithet of Krishna.,Keshava|Keśava
madhusudana,Madhusudana,Names and epithets,Epithet of Krishna: slayer of Madhu.,Madhusudana|Madhusūdana
madhava,Madhava,Names and epithets,Epithet of Krishna.,Madhava|Mādhava
hrishikesha,Hrishikesha,Names and epithets,"Epithet of Krishna, often understood as lord of the senses.",Hṛṣīkeśa|Hrishikesha
vasudeva,Vasudeva,Names and epithets,"Name or epithet of Krishna, son of Vasudeva.",Vāsudeva|Vasudeva
govinda,Govinda,Names and epithets,Epithet of Krishna.,Govinda
acyuta,Acyuta,Names and epithets,"Epithet of Krishna, often glossed as the unfailing one.",Acyuta
dhritarashtra,Dhritarashtra,Names and epithets,"The blind king of the Kurus, father of the Kauravas; he opens the dialogue by asking Sanjaya what happened at Kurukshetra.",Dhritarashtra|Dhritarashtra's
sanjaya,Sanjaya,Names and epithets,Narrator of the dialogue to Dhritarashtra.,Sanjaya
duryodhana,Duryodhana,Names and epithets,Leader of the Kauravas and son of Dhritarashtra.,Duryodhana
bhishma,Bhishma,Names and epithets,Elder of the Kuru dynasty and leading warrior on the Kaurava side.,Bhishma
drona,Drona,Names and epithets,Teacher of the Kuru princes and warrior on the Kaurava side.,Drona
kuru,Kuru,Names and epithets,The Kuru lineage or its members; context may refer to the wider dynasty or the Kaurava side.,Kuru|Kurus
kurukshetra,Kurukshetra,Names and epithets,The battlefield where the dialogue takes place.,Kurukshetra
bhima,Bhima,Names and epithets,"One of the Pandavas, brother of Arjuna.",Bhima
karna,Karna,Names and epithets,Warrior allied with Duryodhana on the Kaurava side.,Karna
drupada,Drupada,Names and epithets,"King of Panchala, father of Draupadi and Dhrishtadyumna.",Drupada
draupadi,Draupadi,Names and epithets,Wife of the Pandavas.,Draupadi
vivasvan,Vivasvan,Names and epithets,Solar deity to whom Krishna says he first taught this yoga.,Vivasvan
manu,Manu,Names and epithets,Ancient progenitor or lawgiver who receives the teaching from Vivasvan.,Manu
ikshvaku,Ikshvaku,Names and epithets,Ancient king who receives the teaching from Manu.,Ikshvaku
brahma,Brahma,Names and epithets,"The creator god; distinct from Brahman, the ultimate reality.",Brahma|Brahma's
bhagavan,Bhagavan,Names and epithets,"Honorific title for the Lord or Blessed One, used for Krishna.",Bhagavan
hari,Hari,Names and epithets,Epithet of Krishna or Vishnu.,Hari
vishnu,Vishnu,Names and epithets,A divine name associated with Krishna in the text.,Vishnu
prajapati,Prajapati,Names and epithets,Lord of creatures; a creator figure.,Prajapati
